Report Refresh Date,User Principal Name,Display Name,Is Deleted,Deleted Date,Has Exchange License,Has OneDrive License,Has SharePoint License,Has Skype For Business License,Has Yammer License,Has Teams License,Exchange Last Activity Date,OneDrive Last Activity Date,SharePoint Last Activity Date,Skype For Business Last Activity Date,Yammer Last Activity Date,Teams Last Activity Date,Exchange License Assign Date,OneDrive License Assign Date,SharePoint License Assign Date,Skype For Business License Assign Date,Yammer License Assign Date,Teams License Assign Date,Assigned Products
2026-03-08,RobinK@M365CPI34695047.OnMicrosoft.com,Robin Kline,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT 365 COPILOT+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS PREMIUM+MICROSOFT TEAMS ENTERPRISE
2026-03-08,MonicaT@M365CPI34695047.OnMicrosoft.com,Monica Thompson,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT TEAMS PREMIUM+MICROSOFT 365 COPILOT+MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 E5 (NO TEAMS)
2026-03-08,SashaO@M365CPI34695047.OnMicrosoft.com,Sasha Ouellet,False,,False,False,False,False,False,False,2026-01-28,2026-01-28,2026-01-28,,,,,,,,,,
2026-03-08,DaichiM@M365CPI34695047.OnMicrosoft.com,Daichi Maruyama,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT 365 COPILOT+MICROSOFT TEAMS ENTERPRISE+MICROSOFT TEAMS PREMIUM
2026-03-08,LisaT@M365CPI34695047.OnMicrosoft.com,Lisa Taylor,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT TEAMS PREMIUM+MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT 365 COPILOT
2026-03-08,HadarC@M365CPI34695047.OnMicrosoft.com,Hadar Caspit,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT 365 COPILOT+MICROSOFT TEAMS PREMIUM+MICROSOFT TEAMS ENTERPRISE
2026-03-08,RonakG@M365CPI34695047.OnMicrosoft.com,Ronak Gupta,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 COPILOT+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS PREMIUM
2026-03-08,QuinnC@M365CPI34695047.OnMicrosoft.com,Quinn Campbell,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT 365 COPILOT+MICROSOFT TEAMS ENTERPRISE+MICROSOFT TEAMS PREMIUM
2026-03-08,TeresaS@M365CPI34695047.OnMicrosoft.com,Teresa Sac,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT 365 COPILOT+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS ENTERPRISE+MICROSOFT TEAMS PREMIUM
2026-03-08,PeytonD@M365CPI34695047.OnMicrosoft.com,Peyton Davis,False,,True,True,True,False,True,True,2026-01-28,2026-01-28,2026-01-28,,,,2026-01-28,2026-01-28,2026-01-28,,2026-01-28,2026-01-28,MICROSOFT TEAMS PREMIUM+MICROSOFT 365 E5 (NO TEAMS)+MICROSOFT TEAMS ENTERPRISE+MICROSOFT 365 COPILOT
